condition,day_index,r2_date,time_bin,time_end_ms,gap_mean
Original interference random fixed40,3,20250830,14,450,0.0862245985138126
Original interference random fixed40,3,20250830,15,480,0.0799063354943242
Original interference random fixed40,3,20250830,16,510,0.0753774778731198
Original interference random fixed40,3,20250830,17,540,0.0716872863518586
Original interference random fixed40,3,20250830,18,570,0.0682709107747713
Original interference random fixed40,3,20250830,19,600,0.0654916085641744
Original interference random fixed40,3,20250830,20,630,0.0639716939996399
Original interference random fixed40,3,20250830,21,660,0.063512348271176
Original interference random fixed40,3,20250830,22,690,0.0640638544581303
Original interference random fixed40,3,20250830,23,720,0.0650023535565481
Original interference random fixed40,3,20250830,24,750,0.066249658909497
Original interference random fixed40,3,20250830,25,780,0.0676475266372512
Original interference random fixed40,3,20250830,26,810,0.0688195230886114
Original interference random fixed40,3,20250830,27,840,0.0697705667266315
Original interference random fixed40,3,20250830,28,870,0.0706859470469282
Original interference random fixed40,3,20250830,29,900,0.0719313945249777
Original interference random fixed40,3,20250830,30,930,0.0732338749079117
Original interference random fixed40,3,20250830,31,960,0.0743386163591715
Original interference random fixed40,3,20250830,32,990,0.0752856238473146
Original interference random fixed40,3,20250830,33,1020,0.076188028212924
Original interference random fixed40,3,20250830,34,1050,0.0771061363901913
Original interference random fixed40,3,20250830,35,1080,0.0779036629305288
Original interference random fixed40,3,20250830,36,1110,0.0787355696227965
Original interference random fixed40,3,20250830,37,1140,0.0794990884644967
Original interference random fixed40,3,20250830,38,1170,0.0801649880739932
Original interference random fixed40,3,20250830,39,1200,0.0806891459397422
Original interference random fixed40,3,20250830,40,1230,0.0811216386952631
Original interference random fixed40,3,20250830,41,1260,0.0814154253153792
Original interference random fixed40,3,20250830,42,1290,0.0816242863530136
Original interference random fixed40,3,20250830,43,1320,0.0818082538819662
Original interference random fixed40,3,20250830,44,1350,0.0820334117048205
Original interference random fixed40,3,20250830,45,1380,0.0821350322489944
Original interference random fixed40,3,20250830,46,1410,0.0822908638721023
Original interference random fixed40,3,20250830,47,1440,0.0823710191097398
Original interference random fixed40,3,20250830,48,1470,0.0823549498097918
Original interference random fixed40,3,20250830,49,1500,0.0823273131141571
Original interference random fixed40,3,20250830,50,1530,0.0823654691919192
Original interference random fixed40,3,20250830,51,1560,0.082460849152192
Original interference random fixed40,3,20250830,52,1590,0.0825616722063811
Original interference random fixed40,3,20250830,53,1620,0.0826199543077642
Original interference random fixed40,3,20250830,54,1650,0.0826201642916101
Original interference random fixed40,3,20250830,55,1680,0.0825942880381811
Original interference random fixed40,3,20250830,56,1710,0.0825353969310112
Original interference random fixed40,3,20250830,57,1740,0.0824315950588062
Original interference random fixed40,3,20250830,58,1770,0.0822981319408686
Original interference random fixed40,3,20250830,59,1800,0.0821745306587544
Original interference random fixed40,3,20250830,60,1830,0.0820944822019647
Original interference random fixed40,3,20250830,61,1860,0.082056988248709
Original interference random fixed40,3,20250830,62,1890,0.0820440437723833
Original interference random fixed40,3,20250830,63,1920,0.0820198987785703
Original interference random fixed40,3,20250830,64,1950,0.0819410546170176
Original interference random fixed40,3,20250830,65,1980,0.0818124161754436
Original interference random fixed40,3,20250830,66,2010,0.0817246532587053
Original interference random fixed40,3,20250830,67,2040,0.0816654658736576
Original interference random fixed40,3,20250830,68,2070,0.081611038987364
Original interference random fixed40,3,20250830,69,2100,0.0815592009167842
Original interference random fixed40,3,20250830,70,2130,0.0814965498199498
Original interference random fixed40,3,20250830,71,2160,0.0814525197212318
Original interference random fixed40,3,20250830,72,2190,0.0814273960548678
Original interference random fixed40,3,20250830,73,2220,0.0814201289121307
Original interference random fixed40,3,20250830,74,2250,0.0814257867274967
Original interference random fixed40,3,20250830,75,2280,0.0814513472191004
Original interference random fixed40,3,20250830,76,2310,0.0814864466521152
Original interference random fixed40,3,20250830,77,2340,0.0815235350887534
Original interference random fixed40,3,20250830,78,2370,0.081560621078318
Original interference random fixed40,3,20250830,79,2400,0.081593187747733
