analysis_mode,target_mode,repeat,seed,pair_id,direction,r1_session,r2_session,r1_date,r2_date,n_trials_each,random_corr
fixed31,relative_velocity,4,20260817,3,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,31,0.26469162967521953
fixed31,relative_velocity,4,20260817,3,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,31,0.3639697473651428
fixed31,relative_velocity,4,20260817,4,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,31,0.327677143665668
fixed31,relative_velocity,4,20260817,4,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,31,0.34225558387999144
fixed31,relative_velocity,4,20260817,5,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,31,0.3690060940001376
fixed31,relative_velocity,4,20260817,5,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,31,0.3569658894779193
fixed31,relative_velocity,4,20260817,6,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,31,0.287460179261177
fixed31,relative_velocity,4,20260817,6,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,31,0.40778487497171273
fixed31,relative_velocity,4,20260817,7,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,31,0.4139291684123854
fixed31,relative_velocity,4,20260817,7,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,31,0.3316982581200887
fixed31,relative_velocity,4,20260817,8,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,31,0.20243232569366143
fixed31,relative_velocity,4,20260817,8,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,31,0.23640872517114073
fixed31,relative_velocity,4,20260817,9,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,31,0.1395752945439155
fixed31,relative_velocity,4,20260817,9,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,31,0.29507227310340606
fixed31,relative_velocity,5,20260817,1,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,31,0.24295409488678418
fixed31,relative_velocity,5,20260817,1,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,31,0.30858316067792263
fixed31,relative_velocity,5,20260817,2,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,31,0.290043126419202
fixed31,relative_velocity,5,20260817,2,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,31,0.07383561598111678
fixed31,relative_velocity,5,20260817,3,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,31,0.21753878763246443
fixed31,relative_velocity,5,20260817,3,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,31,0.28185664004331606
fixed31,relative_velocity,5,20260817,4,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,31,0.27643280503697176
fixed31,relative_velocity,5,20260817,4,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,31,0.23453787365441894
fixed31,relative_velocity,5,20260817,5,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,31,0.2698381575874727
fixed31,relative_velocity,5,20260817,5,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,31,0.21326685850109928
fixed31,relative_velocity,5,20260817,6,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,31,0.35764572614456697
fixed31,relative_velocity,5,20260817,6,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,31,0.40807507917389535
fixed31,relative_velocity,5,20260817,7,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,31,0.30140593920418873
fixed31,relative_velocity,5,20260817,7,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,31,0.3121971310931874
fixed31,relative_velocity,5,20260817,8,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,31,0.26968466437524385
fixed31,relative_velocity,5,20260817,8,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,31,0.2213101885793136
fixed31,relative_velocity,5,20260817,9,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,31,0.2903314039591788
fixed31,relative_velocity,5,20260817,9,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,31,0.27065102633314797
fixed31,relative_velocity,6,20260817,1,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,31,0.39694132295306545
fixed31,relative_velocity,6,20260817,1,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,31,0.394999149738956
fixed31,relative_velocity,6,20260817,2,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,31,0.22326918790648775
fixed31,relative_velocity,6,20260817,2,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,31,0.2294678164687314
fixed31,relative_velocity,6,20260817,3,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,31,0.28280959690782165
fixed31,relative_velocity,6,20260817,3,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,31,0.36691219819828386
fixed31,relative_velocity,6,20260817,4,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,31,0.2711839578108548
fixed31,relative_velocity,6,20260817,4,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,31,0.22235861804887655
fixed31,relative_velocity,6,20260817,5,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,31,0.3101932040990901
fixed31,relative_velocity,6,20260817,5,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,31,0.44320034561873417
fixed31,relative_velocity,6,20260817,6,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,31,0.34182158244819866
fixed31,relative_velocity,6,20260817,6,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,31,0.41045066474403064
fixed31,relative_velocity,6,20260817,7,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,31,0.3148621431319082
fixed31,relative_velocity,6,20260817,7,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,31,0.24876513033558406
fixed31,relative_velocity,6,20260817,8,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,31,0.22064105586307686
fixed31,relative_velocity,6,20260817,8,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,31,0.20075315021268533
fixed31,relative_velocity,6,20260817,9,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,31,0.24871761217972418
fixed31,relative_velocity,6,20260817,9,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,31,0.23308720294625832
fixed31,relative_velocity,7,20260817,1,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,31,0.2921694587621292
fixed31,relative_velocity,7,20260817,1,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,31,0.22707829817302536
fixed31,relative_velocity,7,20260817,2,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,31,0.3364422654206482
fixed31,relative_velocity,7,20260817,2,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,31,0.2784206887689281
fixed31,relative_velocity,7,20260817,3,R1->R2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,31,0.25878146448684025
fixed31,relative_velocity,7,20260817,3,R2->R1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,31,0.3995359746410196
fixed31,relative_velocity,7,20260817,4,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,31,0.23580128854518734
fixed31,relative_velocity,7,20260817,4,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,31,0.4363420105978185
fixed31,relative_velocity,7,20260817,5,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,31,0.29967655042250607
fixed31,relative_velocity,7,20260817,5,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,31,0.2411563527497461
fixed31,relative_velocity,7,20260817,6,R1->R2,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,31,0.2755154480005796
fixed31,relative_velocity,7,20260817,6,R2->R1,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,31,0.4084574991790985
fixed31,relative_velocity,7,20260817,7,R1->R2,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,31,0.3532563397329136
fixed31,relative_velocity,7,20260817,7,R2->R1,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,31,0.22937059684099756
