match_direction,score,pair_id,r1_session,r2_session,R1->R2,R2->R1,gap
trim_r1_to_r2,matched,10,TSAL20250803_1400_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.2910786903312962,0.5543433331476221,0.2632646428163259
trim_r1_to_r2,matched,11,TSAL20250803_1400_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.2694132557873148,0.5790025207904078,0.30958926500309303
trim_r1_to_r2,matched,12,TSAL20250803_1400_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.191698027394859,0.3077190105006544,0.11602098310579542
trim_r1_to_r2,matched,13,TSAL20250804_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.3523813629450191,0.2214272234500103,-0.13095413949500878
trim_r1_to_r2,matched,14,TSAL20250804_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.3223185595720496,0.500059900165977,0.17774134059392743
trim_r1_to_r2,matched,15,TSAL20250804_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.1957116061235301,0.489320928500592,0.2936093223770619
trim_r1_to_r2,matched,16,TSAL20250805_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.4528358103191494,0.559722075785693,0.10688626546654362
trim_r1_to_r2,matched,17,TSAL20250805_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.2172137498707001,0.6630218735264818,0.4458081236557817
trim_r1_to_r2,matched,18,TSAL20250805_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.5074644050602943,0.4627298835207589,-0.04473452153953544
trim_r1_to_r2,matched,19,TSAL20250806_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.2856437540704043,0.6164195760930852,0.33077582202268085
trim_r1_to_r2,matched,20,TSAL20250806_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.3586553005945952,0.6159377210840364,0.2572824204894412
trim_r1_to_r2,matched,21,TSAL20250806_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.3968883237895965,0.3200054464526172,-0.0768828773369793
trim_r1_to_r2,matched,22,TSAL20250807_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.3232756594821661,0.4766033024316159,0.15332764294944984
trim_r1_to_r2,matched,23,TSAL20250807_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.4395862722672752,0.5781580964477678,0.13857182418049263
trim_r1_to_r2,matched,24,TSAL20250807_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.340795597517358,0.3487756197985504,0.007980022281192378
trim_r1_to_r2,matched,25,TSAL20250808_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.4250161968219347,0.5060567404315983,0.08104054360966362
trim_r1_to_r2,matched,26,TSAL20250808_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.5114041765940534,0.5620788060230935,0.05067462942904011
trim_r1_to_r2,matched,27,TSAL20250808_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.4515499453805927,0.4521308297676585,0.0005808843870658276
